;TypeVendeur;année;codepostal;cote_affinée;email;kilometrage;lien;modele;prix_neuf;prix_vente;telephone;telfromdesc;type
145;Pro Véhicules;2017;"Paris 75015
                ";15703;NA;500;https://www.leboncoin.fr/voitures/1153901361.htm?ca=12_s;Zoe;23900;16390;A prendre plus tard;0184030570;zen
146;particulier;2013;"Aulnay-sur-Mauldre 78126
                ";8456;NA;55300;https://www.leboncoin.fr/voitures/1313301922.htm?ca=12_s;Zoe;23900;8000;A prendre plus tard;NA;zen
147;Pro Véhicules;2015;"Melun 77000
                ";9766;NA;17940;https://www.leboncoin.fr/voitures/1153494165.htm?ca=12_s;Zoe;22600;9900;A prendre plus tard;0164393333;life
148;Pro Véhicules;2015;"Paris 75008
                ";10624;NA;3100;https://www.leboncoin.fr/voitures/1174505037.htm?ca=12_s;Zoe;23900;11590;A prendre plus tard;0178455073;zen
149;Pro Véhicules;2015;"Paris 75008
                ";10963;NA;40095;https://www.leboncoin.fr/voitures/1174505458.htm?ca=12_s;Zoe;24600;10700;A prendre plus tard;0178455073;intens
150;Pro Véhicules;2013;"Paris 75008
                ";8323;NA;81404;https://www.leboncoin.fr/voitures/1174505342.htm?ca=12_s;Zoe;23900;8700;A prendre plus tard;0178455073;zen
151;particulier;2015;"Pussay 91740
                ";10534;NA;11900;https://www.leboncoin.fr/voitures/1312154281.htm?ca=12_s;Zoe;23900;9000;A prendre plus tard;NA;NA
152;Pro Véhicules;2014;"Paris 75008
                ";9475;NA;18815;https://www.leboncoin.fr/voitures/1311654426.htm?ca=12_s;Zoe;24600;10900;A prendre plus tard;0178455073;intens
153;Pro Véhicules;2015;"Courbevoie 92400
                ";12139;NA;10014;https://www.leboncoin.fr/voitures/1311655583.htm?ca=12_s;Zoe;24600;11500;A prendre plus tard;0174704406;intens
154;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13521;NA;1;https://www.leboncoin.fr/voitures/1311654762.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
155;Pro Véhicules;2014;"Paris 75008
                ";10832;NA;8184;https://www.leboncoin.fr/voitures/1311654168.htm?ca=12_s;Zoe;23900;10990;A prendre plus tard;0178455073;zen
156;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13521;NA;1;https://www.leboncoin.fr/voitures/1311654674.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
157;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13521;NA;1;https://www.leboncoin.fr/voitures/1311654806.htm?ca=12_s;Zoe;24600;17490;A prendre plus tard;0160625056;intens
158;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13521;NA;1;https://www.leboncoin.fr/voitures/1311654839.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
159;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13521;NA;1;https://www.leboncoin.fr/voitures/1311654664.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
160;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13521;NA;1;https://www.leboncoin.fr/voitures/1311654684.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
161;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13521;NA;1;https://www.leboncoin.fr/voitures/1311654659.htm?ca=12_s;Zoe;24600;17490;A prendre plus tard;0160625056;intens
162;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13521;NA;1;https://www.leboncoin.fr/voitures/1311654697.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
163;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13521;NA;1;https://www.leboncoin.fr/voitures/1311654725.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
164;Pro Véhicules;2013;"Courbevoie 92400
                ";9888;NA;19186;https://www.leboncoin.fr/voitures/1311655973.htm?ca=12_s;Zoe;23900;8790;A prendre plus tard;0174704406;zen
165;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13521;NA;1;https://www.leboncoin.fr/voitures/1311654795.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
166;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13521;NA;1;https://www.leboncoin.fr/voitures/1311654735.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
167;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13521;NA;1;https://www.leboncoin.fr/voitures/1311654831.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
168;Pro Véhicules;2015;"Pantin 93500
                ";11731;NA;19756;https://www.leboncoin.fr/voitures/1311182741.htm?ca=12_s;Zoe;24600;11990;A prendre plus tard;0174730257;intens
169;Pro Véhicules;2016;"Versailles 78000
                ";14620;NA;100;https://www.leboncoin.fr/voitures/1128769092.htm?ca=12_s;Zoe;23900;13900;A prendre plus tard;0184270396;zen
170;particulier;2015;"Orsay 91400
                ";11715;NA;20000;https://www.leboncoin.fr/voitures/1309416440.htm?ca=12_s;Zoe;24600;10450;A prendre plus tard;NA;intens
171;Pro Véhicules;2013;"Nanterre 92000
                ";8597;NA;49299;https://www.leboncoin.fr/voitures/1310686854.htm?ca=12_s;Zoe;23900;9980;A prendre plus tard;0184207324;zen
172;Pro Véhicules;2014;"Courbevoie 92400
                ";12237;NA;2759;https://www.leboncoin.fr/voitures/1128769008.htm?ca=12_s;Zoe;22600;9490;A prendre plus tard;0174704406;life
173;Pro Véhicules;2016;"Montreuil 93100
                ";12938;NA;6130;https://www.leboncoin.fr/voitures/1049170770.htm?ca=12_s;Zoe;24600;12990;A prendre plus tard;0170176498;intens
174;Pro Véhicules;2016;"Versailles 78000
                ";14620;NA;100;https://www.leboncoin.fr/voitures/1128769061.htm?ca=12_s;Zoe;23900;13900;A prendre plus tard;0184270396;zen
175;particulier;2017;"Arpajon 91290
                ";15370;NA;7400;https://www.leboncoin.fr/voitures/1310153601.htm?ca=12_s;Zoe;23900;16800;A prendre plus tard;NA;zen
176;Pro Véhicules;2014;"Nanterre 92000
                ";11117;NA;33853;https://www.leboncoin.fr/voitures/1309668385.htm?ca=12_s;Zoe;22600;9980;A prendre plus tard;0184207324;life
177;Pro Véhicules;2016;"Paris 75015
                ";14620;NA;100;https://www.leboncoin.fr/voitures/1170361076.htm?ca=12_s;Zoe;23900;10390;A prendre plus tard;0184030570;zen
178;Pro Véhicules;2016;"Paris 75015
                ";14620;NA;100;https://www.leboncoin.fr/voitures/1170361118.htm?ca=12_s;Zoe;23900;11690;A prendre plus tard;0184030570;zen
179;Pro Véhicules;2016;"Paris 75015
                ";14620;NA;100;https://www.leboncoin.fr/voitures/1170361094.htm?ca=12_s;Zoe;23900;11390;A prendre plus tard;0184030570;zen
180;Pro Véhicules;2014;"Versailles 78000
                ";11536;NA;27582;https://www.leboncoin.fr/voitures/1136394587.htm?ca=12_s;Zoe;22600;9600;A prendre plus tard;0175448151;life
181;Pro Véhicules;2014;"Courbevoie 92400
                ";9540;NA;15888;https://www.leboncoin.fr/voitures/1148864542.htm?ca=12_s;Zoe;24600;10990;A prendre plus tard;0174704406;intens
182;particulier;2017;"Périgny 94520
                ";15212;NA;17800;https://www.leboncoin.fr/voitures/1306769563.htm?ca=12_s;Zoe;23900;15000;A prendre plus tard;NA;NA
183;Pro Véhicules;2015;"Paris 75012
                ";9689;NA;19438;https://www.leboncoin.fr/voitures/1147612495.htm?ca=12_s;Zoe;22600;9500;A prendre plus tard;0182714652;life
184;Pro Véhicules;2013;"Courbevoie 92400
                ";9200;NA;8800;https://www.leboncoin.fr/voitures/1101078242.htm?ca=12_s;Zoe;22600;9490;A prendre plus tard;0174704406;life
185;Pro Véhicules;2016;"Paris 75015
                ";14620;NA;100;https://www.leboncoin.fr/voitures/1167828367.htm?ca=12_s;Zoe;23900;11690;A prendre plus tard;0184030570;zen
186;Pro Véhicules;2014;"Les Ulis 91940
                ";11245;NA;31872;https://www.leboncoin.fr/voitures/1171143468.htm?ca=12_s;Zoe;22600;9600;A prendre plus tard;0160926972;life
187;Pro Véhicules;2013;"Versailles 78000
                ";8339;NA;70102;https://www.leboncoin.fr/voitures/1303806454.htm?ca=12_s;Zoe;23900;9000;A prendre plus tard;0175448151;zen
188;Pro Véhicules;2014;"Montreuil 93100
                ";11271;NA;31425;https://www.leboncoin.fr/voitures/1178596024.htm?ca=12_s;Zoe;22600;9100;A prendre plus tard;0170176498;life
189;Pro Véhicules;2014;"Versailles 78000
                ";11206;NA;32203;https://www.leboncoin.fr/voitures/1303298657.htm?ca=12_s;Zoe;22600;9600;A prendre plus tard;0175448151;life
190;Pro Véhicules;2014;"Le Perreux-sur-Marne 94170
                ";10758;NA;14497;https://www.leboncoin.fr/voitures/1166590040.htm?ca=12_s;Zoe;23900;10990;A prendre plus tard;0143246174;NA
191;Pro Véhicules;2014;"Versailles 78000
                ";10604;NA;20359;https://www.leboncoin.fr/voitures/1303298374.htm?ca=12_s;Zoe;23900;10400;A prendre plus tard;0175448151;zen
192;Pro Véhicules;2016;"Chilly-Mazarin 91380
                ";14563;NA;5975;https://www.leboncoin.fr/voitures/1166018156.htm?ca=12_s;Zoe;23900;11990;A prendre plus tard;0175448166;zen
193;Pro Véhicules;2016;"Fresnes 94260
                ";14563;NA;5975;https://www.leboncoin.fr/voitures/1166018166.htm?ca=12_s;Zoe;23900;11990;A prendre plus tard;0175448164;zen
194;Pro Véhicules;2014;"Fresnes 94260
                ";12152;NA;12658;https://www.leboncoin.fr/voitures/1187231493.htm?ca=12_s;Zoe;22600;9490;A prendre plus tard;0175448164;life
195;Pro Véhicules;2014;"Chilly-Mazarin 91380
                ";12152;NA;12658;https://www.leboncoin.fr/voitures/1187231658.htm?ca=12_s;Zoe;22600;9490;A prendre plus tard;0175448166;life
196;Pro Véhicules;2016;"Paris 75008
                ";12818;NA;10000;https://www.leboncoin.fr/voitures/1120100372.htm?ca=12_s;Zoe;24600;14000;A prendre plus tard;0184030235;intens
197;Pro Véhicules;2015;"Paris 75008
                ";11946;NA;16134;https://www.leboncoin.fr/voitures/1164288784.htm?ca=12_s;Zoe;24600;11500;A prendre plus tard;0178455073;intens
198;Pro Véhicules;2014;"Chelles 77500
                ";9727;NA;36385;https://www.leboncoin.fr/voitures/1164238082.htm?ca=12_s;Zoe;23900;10100;A prendre plus tard;0677372750;zen
199;Pro Véhicules;2016;"Paris 75015
                ";14620;NA;100;https://www.leboncoin.fr/voitures/1186775046.htm?ca=12_s;Zoe;23900;11390;A prendre plus tard;0184030570;zen
200;Pro Véhicules;2014;"Paris 75012
                ";11906;NA;21264;https://www.leboncoin.fr/voitures/1154896368.htm?ca=12_s;Zoe;22600;8980;A prendre plus tard;0182714652;life
201;Pro Véhicules;2014;"Boulogne-Billancourt 92100
                ";11900;NA;21430;https://www.leboncoin.fr/voitures/1186340864.htm?ca=12_s;Zoe;22600;8690;A prendre plus tard;0174037256;life
202;Pro Véhicules;2015;"Boulogne-Billancourt 92100
                ";10249;NA;19157;https://www.leboncoin.fr/voitures/1186340768.htm?ca=12_s;Zoe;23900;10390;A prendre plus tard;0174037256;zen
203;Pro Véhicules;2014;"Chelles 77500
                ";11473;NA;28664;https://www.leboncoin.fr/voitures/1163364537.htm?ca=12_s;Zoe;22600;10600;A prendre plus tard;0677372750;life
204;particulier;2015;"Paris 75116
                ";12184;NA;6000;https://www.leboncoin.fr/voitures/1184849743.htm?ca=12_s;Zoe;24600;10990;A prendre plus tard;NA;intens
205;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";15704;NA;1;https://www.leboncoin.fr/voitures/1183788805.htm?ca=12_s;Zoe;23900;16480;A prendre plus tard;0160625056;zen
206;Pro Véhicules;2014;"Pantin 93500
                ";9319;NA;23276;https://www.leboncoin.fr/voitures/1183337869.htm?ca=12_s;Zoe;24600;10590;A prendre plus tard;0174730257;intens
207;particulier;2015;"Saint-Soupplets 77165
                ";9533;NA;65000;https://www.leboncoin.fr/voitures/1183091992.htm?ca=12_s;Zoe;23900;10500;A prendre plus tard;NA;NA
208;Pro Véhicules;2014;"Noisiel 77186
                ";10130;NA;29306;https://www.leboncoin.fr/voitures/1182420995.htm?ca=12_s;Zoe;23900;10900;A prendre plus tard;0160059293;zen
209;Pro Véhicules;2016;"Pantin 93500
                ";14556;NA;6400;https://www.leboncoin.fr/voitures/1182361545.htm?ca=12_s;Zoe;23900;12999;A prendre plus tard;0183799581;zen
210;Pro Véhicules;2016;"Paris 75015
                ";14620;NA;100;https://www.leboncoin.fr/voitures/1138649404.htm?ca=12_s;Zoe;23900;11690;A prendre plus tard;0184030570;zen
211;Pro Véhicules;2014;"Persan 95340
                ";10610;NA;20205;https://www.leboncoin.fr/voitures/1180933261.htm?ca=12_s;Zoe;23900;10490;A prendre plus tard;0171025422;zen
212;Pro Véhicules;2016;"Chelles 77500
                ";11741;NA;1410;https://www.leboncoin.fr/voitures/1089980725.htm?ca=12_s;Zoe;22600;13990;A prendre plus tard;0677372750;life
213;Pro Véhicules;2016;"Paris 75008
                ";12477;NA;15000;https://www.leboncoin.fr/voitures/1159162168.htm?ca=12_s;Zoe;24600;14100;A prendre plus tard;0184030235;intens
214;Pro Véhicules;2014;"Marseille 13008
                ";9621;NA;9222;https://www.leboncoin.fr/voitures/1183787738.htm?ca=21_s;Zoe;24600;11490;A prendre plus tard;0422170199;intens
215;Pro Véhicules;2014;"Arles 13200
                ";11680;NA;25333;https://www.leboncoin.fr/voitures/1307026601.htm?ca=21_s;Zoe;22600;9490;A prendre plus tard;0490188023;life
216;Pro Véhicules;2016;"Vitrolles 13127
                ";11669;NA;7911;https://www.leboncoin.fr/voitures/1306026512.htm?ca=21_s;Zoe;22600;10990;A prendre plus tard;0805805802;life
217;Pro Véhicules;2015;"Carpentras 84200
                ";10057;NA;820;https://www.leboncoin.fr/voitures/1167913928.htm?ca=21_s;Zoe;22600;10700;A prendre plus tard;0675324710;life
218;Pro Véhicules;2015;"Cannes 06400
                ";11946;NA;16133;https://www.leboncoin.fr/voitures/1303278974.htm?ca=21_s;Zoe;24600;11590;A prendre plus tard;0481072130;intens
219;Pro Véhicules;2014;"Cannes 06400
                ";10265;NA;27158;https://www.leboncoin.fr/voitures/1303279043.htm?ca=21_s;Zoe;23900;9390;A prendre plus tard;0481072130;zen
220;Pro Véhicules;2014;"La Seyne-sur-Mer 83500
                ";9404;NA;51657;https://www.leboncoin.fr/voitures/1165215533.htm?ca=21_s;Zoe;23900;8900;A prendre plus tard;0494110548;zen
221;Pro Véhicules;2016;"Vitrolles 13127
                ";11669;NA;7911;https://www.leboncoin.fr/voitures/1186627191.htm?ca=21_s;Zoe;22600;10990;A prendre plus tard;0805805802;life
222;Pro Véhicules;2013;"Aubagne 13400
                ";8926;NA;41535;https://www.leboncoin.fr/voitures/1179055312.htm?ca=21_s;Zoe;23900;7500;A prendre plus tard;0422170191;zen
223;Pro Véhicules;2016;"Vitrolles 13127
                ";11712;NA;5500;https://www.leboncoin.fr/voitures/1183135194.htm?ca=21_s;Zoe;22600;11999;A prendre plus tard;06214945610;life
224;particulier;2013;"Ventabren 13122
                ";7978;NA;76000;https://www.leboncoin.fr/voitures/1183108008.htm?ca=21_s;Zoe;24600;7500;A prendre plus tard;NA;intens
225;Pro Véhicules;2013;"Salon-de-Provence 13300
                ";8427;NA;57314;https://www.leboncoin.fr/voitures/1182375223.htm?ca=21_s;Zoe;23900;7900;A prendre plus tard;0490421313;zen
226;particulier;2016;"La Teste-de-Buch 33260
                ";14156;NA;15000;https://www.leboncoin.fr/voitures/1322038429.htm?ca=2_s;Zoe;23900;10000;A prendre plus tard;NA;NA
227;Pro Véhicules;2016;"Dax 40100
                ";11695;NA;9746;https://www.leboncoin.fr/voitures/1321806610.htm?ca=2_s;Zoe;22600;11490;A prendre plus tard;0558909010;life
228;particulier;2016;"Saint-Lon-les-Mines 40300
                ";11087;NA;21200;https://www.leboncoin.fr/voitures/1321378824.htm?ca=2_s;Zoe;22600;9200;A prendre plus tard;NA;life
229;Pro Véhicules;2014;"Bias 47300
                ";10957;NA;38049;https://www.leboncoin.fr/voitures/1310926298.htm?ca=2_s;Zoe;22600;8990;A prendre plus tard;NA;life
230;particulier;2014;"Gujan-Mestras 33470
                ";10718;NA;46800;https://www.leboncoin.fr/voitures/1320208443.htm?ca=2_s;Zoe;22600;7800;A prendre plus tard;NA;life
231;Pro Véhicules;2014;"Lormont 33310
                ";10647;NA;65387;https://www.leboncoin.fr/voitures/1319650908.htm?ca=2_s;Zoe;22600;7490;A prendre plus tard;0531081576;life
232;Pro Véhicules;2015;"Bruges 33520
                ";9859;NA;17500;https://www.leboncoin.fr/voitures/1136832633.htm?ca=2_s;Zoe;22600;9450;A prendre plus tard;0531081574;life
233;Pro Véhicules;2014;"Larressore 64480
                ";10315;sarl.garage.etchegaray@orange.frXavier;27545;https://www.leboncoin.fr/voitures/1319313458.htm?ca=2_s;Zoe;23900;9990;A prendre plus tard;NA;zen
234;particulier;2016;"Bordeaux 33100
                ";11635;NA;11000;https://www.leboncoin.fr/voitures/1319270536.htm?ca=2_s;Zoe;22600;9300;A prendre plus tard;NA;life
235;Pro Véhicules;2015;"Bruges 33520
                ";9871;NA;17076;https://www.leboncoin.fr/voitures/1319136873.htm?ca=2_s;Zoe;22600;9950;A prendre plus tard;0531081574;life
236;Pro Véhicules;2015;"Villenave-d'Ornon 33140
                ";10068;NA;10295;https://www.leboncoin.fr/voitures/1158341806.htm?ca=2_s;Zoe;22600;9600;A prendre plus tard;0531081640;life
237;Pro Véhicules;2015;"Libourne 33500
                ";12221;NA;10132;https://www.leboncoin.fr/voitures/1318651695.htm?ca=2_s;Zoe;24600;12000;A prendre plus tard;0649173452;intens
238;Pro Véhicules;2014;"Bergerac 24100
                ";9823;NA;35858;https://www.leboncoin.fr/voitures/1155661889.htm?ca=2_s;Zoe;23900;10100;A prendre plus tard;0564283208;zen
239;Pro Véhicules;2014;"Lormont 33310
                ";10723;NA;46385;https://www.leboncoin.fr/voitures/1318170597.htm?ca=2_s;Zoe;22600;8990;A prendre plus tard;0531081576;life
240;particulier;2014;"Commensacq 40210
                ";10705;NA;48000;https://www.leboncoin.fr/voitures/1317638828.htm?ca=2_s;Zoe;22600;9500;A prendre plus tard;NA;life
241;Pro Véhicules;2014;"Bruges 33520
                ";10811;NA;42351;https://www.leboncoin.fr/voitures/1149708823.htm?ca=2_s;Zoe;22600;7950;A prendre plus tard;0531081574;life
242;Pro Véhicules;2013;"Bergerac 24100
                ";9181;NA;38077;https://www.leboncoin.fr/voitures/1317104890.htm?ca=2_s;Zoe;23900;9500;A prendre plus tard;0564283208;zen
243;particulier;2013;"Pessac 33600
                ";8670;NA;49000;https://www.leboncoin.fr/voitures/1315861486.htm?ca=2_s;Zoe;23900;8000;A prendre plus tard;NA;zen
244;Pro Véhicules;2016;"Marmande 47200
                ";11335;NA;20300;https://www.leboncoin.fr/voitures/1314787398.htm?ca=2_s;Zoe;22600;10995;A prendre plus tard;0553881330;life
245;Pro Véhicules;2015;"Mérignac 33700
                ";10681;NA;6600;https://www.leboncoin.fr/voitures/1314477373.htm?ca=2_s;Zoe;23900;10990;A prendre plus tard;0556132965;zen
246;Pro Véhicules;2014;"Villenave-d'Ornon 33140
                ";9726;NA;38087;https://www.leboncoin.fr/voitures/1175328625.htm?ca=2_s;Zoe;23900;8600;A prendre plus tard;0531081640;zen
247;Pro Véhicules;2014;"Hasparren 64240
                ";10664;Trancoso0675008314marchands@baskoto.comNouveau;55000;https://www.leboncoin.fr/voitures/1311303721.htm?ca=2_s;Zoe;22600;9490;A prendre plus tard;0675008314;life
248;Pro Véhicules;2015;"Pessac 33600
                ";9087;NA;48957;https://www.leboncoin.fr/voitures/1182357463.htm?ca=2_s;Zoe;22600;9290;A prendre plus tard;0531081450;life
249;Pro Véhicules;2016;"Bruges 33520
                ";11819;NA;3000;https://www.leboncoin.fr/voitures/1079144403.htm?ca=2_s;Zoe;22600;13300;A prendre plus tard;0516066011;life
250;Pro Véhicules;2013;"Villenave-d'Ornon 33140
                ";9292;NA;470;https://www.leboncoin.fr/voitures/1109418192.htm?ca=2_s;Zoe;22600;9200;A prendre plus tard;0531081640;life
251;Pro Véhicules;2016;"Lormont 33310
                ";11809;NA;4619;https://www.leboncoin.fr/voitures/1307057599.htm?ca=2_s;Zoe;22600;11990;A prendre plus tard;0531081576;life
252;Pro Véhicules;2014;"Lormont 33310
                ";10826;NA;15143;https://www.leboncoin.fr/voitures/1307058054.htm?ca=2_s;Zoe;23900;8990;A prendre plus tard;0531081576;zen
253;Pro Véhicules;2014;"Lormont 33310
                ";11855;NA;24088;https://www.leboncoin.fr/voitures/1307057894.htm?ca=2_s;Zoe;22600;8690;A prendre plus tard;0531081576;life
254;Pro Véhicules;2014;"Lormont 33310
                ";11162;NA;34301;https://www.leboncoin.fr/voitures/1307057802.htm?ca=2_s;Zoe;22600;8490;A prendre plus tard;0531081576;life
255;Pro Véhicules;2014;"Lormont 33310
                ";12268;NA;10690;https://www.leboncoin.fr/voitures/1307058176.htm?ca=2_s;Zoe;22600;8990;A prendre plus tard;0531081576;life
256;Pro Véhicules;2014;"Lormont 33310
                ";8673;NA;37441;https://www.leboncoin.fr/voitures/1307057547.htm?ca=2_s;Zoe;24600;9490;A prendre plus tard;0531081576;intens
257;Pro Véhicules;2016;"Lormont 33310
                ";11760;NA;7701;https://www.leboncoin.fr/voitures/1307058227.htm?ca=2_s;Zoe;22600;10500;A prendre plus tard;0531081576;life
258;Pro Véhicules;2015;"Bruges 33520
                ";12017;NA;16370;https://www.leboncoin.fr/voitures/1307057860.htm?ca=2_s;Zoe;24600;9950;A prendre plus tard;0531081574;intens
259;Pro Véhicules;2014;"Lormont 33310
                ";10905;NA;9094;https://www.leboncoin.fr/voitures/1307058016.htm?ca=2_s;Zoe;23900;8990;A prendre plus tard;0531081576;zen
260;particulier;2017;" 40390
                ";15395;NA;9000;https://www.leboncoin.fr/voitures/1164190494.htm?ca=2_s;Zoe;23900;15000;A prendre plus tard;NA;NA
261;Pro Véhicules;2013;"Fontenay-le-Vicomte 91540
                ";7729;NA;70896;https://www.leboncoin.fr/voitures/1314954351.htm?ca=12_s;Zoe;22600;6790;A prendre plus tard;0164572000;life
262;particulier;2010;"Fontenay-sous-Bois 94120
                ";7307;NA;45000;https://www.leboncoin.fr/voitures/1314550590.htm?ca=12_s;Fluence;23900;9900;A prendre plus tard;0651193183;NA
263;Pro Véhicules;2016;"Mantes-la-Ville 78711
                ";11782;NA;6667;https://www.leboncoin.fr/voitures/1314085781.htm?ca=12_s;Zoe;22600;10890;A prendre plus tard;0185500387;life
264;Pro Véhicules;2017;"Paris 75015
                ";15818;NA;500;https://www.leboncoin.fr/voitures/1153901361.htm?ca=12_s;Zoe;23900;16390;A prendre plus tard;0184030570;zen
265;particulier;2013;"Aulnay-sur-Mauldre 78126
                ";8519;NA;55300;https://www.leboncoin.fr/voitures/1313301922.htm?ca=12_s;Zoe;23900;8000;A prendre plus tard;NA;zen
266;Pro Véhicules;2015;"Melun 77000
                ";9835;NA;17940;https://www.leboncoin.fr/voitures/1153494165.htm?ca=12_s;Zoe;22600;9900;A prendre plus tard;0164393333;life
267;Pro Véhicules;2015;"Paris 75008
                ";10700;NA;3100;https://www.leboncoin.fr/voitures/1174505037.htm?ca=12_s;Zoe;23900;11590;A prendre plus tard;0178455073;zen
268;Pro Véhicules;2015;"Paris 75008
                ";11044;NA;40095;https://www.leboncoin.fr/voitures/1174505458.htm?ca=12_s;Zoe;24600;10700;A prendre plus tard;0178455073;intens
269;Pro Véhicules;2013;"Paris 75008
                ";8382;NA;81404;https://www.leboncoin.fr/voitures/1174505342.htm?ca=12_s;Zoe;23900;8700;A prendre plus tard;0178455073;zen
270;particulier;2015;"Pussay 91740
                ";10610;NA;11900;https://www.leboncoin.fr/voitures/1312154281.htm?ca=12_s;Zoe;23900;9000;A prendre plus tard;NA;NA
271;Pro Véhicules;2014;"Paris 75008
                ";9542;NA;18815;https://www.leboncoin.fr/voitures/1311654426.htm?ca=12_s;Zoe;24600;10900;A prendre plus tard;0178455073;intens
272;Pro Véhicules;2015;"Courbevoie 92400
                ";12223;NA;10014;https://www.leboncoin.fr/voitures/1311655583.htm?ca=12_s;Zoe;24600;11500;A prendre plus tard;0174704406;intens
273;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13620;NA;1;https://www.leboncoin.fr/voitures/1311654762.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
274;Pro Véhicules;2014;"Paris 75008
                ";10911;NA;8184;https://www.leboncoin.fr/voitures/1311654168.htm?ca=12_s;Zoe;23900;10990;A prendre plus tard;0178455073;zen
275;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13620;NA;1;https://www.leboncoin.fr/voitures/1311654674.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
276;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13620;NA;1;https://www.leboncoin.fr/voitures/1311654806.htm?ca=12_s;Zoe;24600;17490;A prendre plus tard;0160625056;intens
277;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13620;NA;1;https://www.leboncoin.fr/voitures/1311654839.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
278;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13620;NA;1;https://www.leboncoin.fr/voitures/1311654664.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
279;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13620;NA;1;https://www.leboncoin.fr/voitures/1311654684.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
280;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13620;NA;1;https://www.leboncoin.fr/voitures/1311654659.htm?ca=12_s;Zoe;24600;17490;A prendre plus tard;0160625056;intens
281;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13620;NA;1;https://www.leboncoin.fr/voitures/1311654697.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
282;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13620;NA;1;https://www.leboncoin.fr/voitures/1311654725.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
283;Pro Véhicules;2013;"Courbevoie 92400
                ";9961;NA;19186;https://www.leboncoin.fr/voitures/1311655973.htm?ca=12_s;Zoe;23900;8790;A prendre plus tard;0174704406;zen
284;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13620;NA;1;https://www.leboncoin.fr/voitures/1311654795.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
285;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13620;NA;1;https://www.leboncoin.fr/voitures/1311654735.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
286;Pro Véhicules;2017;"Brie-Comte-Robert 77170
                ";13620;NA;1;https://www.leboncoin.fr/voitures/1311654831.htm?ca=12_s;Zoe;24600;17790;A prendre plus tard;0160625056;intens
287;Pro Véhicules;2015;"Pantin 93500
                ";11818;NA;19756;https://www.leboncoin.fr/voitures/1311182741.htm?ca=12_s;Zoe;24600;11990;A prendre plus tard;0174730257;intens
288;Pro Véhicules;2016;"Versailles 78000
                ";14729;NA;100;https://www.leboncoin.fr/voitures/1128769092.htm?ca=12_s;Zoe;23900;13900;A prendre plus tard;0184270396;zen
289;particulier;2015;"Orsay 91400
                ";11797;NA;20000;https://www.leboncoin.fr/voitures/1309416440.htm?ca=12_s;Zoe;24600;10450;A prendre plus tard;NA;intens
